id,category
S8770,1
S2423,1
S5149,1
S9160,0
S8569,0
S8269,1
S2314,0
S7159,1
S1145,0
S5512,0
S7011,1
S3280,0
S4210,0
S6490,0
S4081,1
S8320,0
S5380,3
S1740,0
S1245,0
S6099,1
S2146,1
S1938,1
S2028,0
S3134,1
S2924,0
S7073,1
S6223,1
S4067,1
S6423,0
S6216,0
S6177,3
S1484,0
S8257,1
S8657,1
S1009,1
S1064,0
S1029,0
S147,1
S997,1
S2932,1
S9201,1
S3914,0
S3051,0
S5102,1
S2711,1
S547,1
S8400,1
S1517,1
S7828,3
S2633,0
S6609,1
S3961,1
S348,1
S5009,0
S1419,1
S5555,1
S8734,3
S8262,1
S4575,0
S2684,0
S9202,1
S3839,0
S532,0
S5620,1
S6650,0
S1422,1
S4781,3
S6975,1
S5934,0
S2464,0
S7110,4
S4493,1
S6823,1
S7983,0
S5743,1
S4307,0
S2202,0
S3414,1
S8735,1
S5982,0
S5736,1
S8367,3
S7503,0
S1782,1
S768,1
S9222,1
S972,0
S121,1
S7966,1
S8092,0
S8444,1
S2147,0
S7872,1
S3531,0
S5103,1
S6770,0
S6377,1
S2937,1
S8173,1
S7973,0
S3138,1
S2626,1
S8481,0
S642,0
S1316,0
S6738,1
S9067,0
S186,0
S993,1
S9101,4
S2023,0
S1201,0
S9418,1
S2651,0
S283,0
S4261,3
S7552,1
S6202,0
S2448,0
S3021,1
S2716,1
S8751,1
S7211,0
S7468,1
S9237,1
S6443,1
S8051,0
S489,1
S1579,0
S8153,0
S7344,0
S8456,0
S9425,0
S2417,1
S6156,1
S6667,3
S5880,0
S4059,4
S2657,1
S5318,1
S7416,0
S5293,0
S1496,1
S5466,0
S2341,1
S6128,1
S4146,0
S4572,0
S7396,4
S3965,1
S8578,1
S4007,0
S511,1
S6035,0
S9191,0
S9032,0
S5370,1
S8811,1
S4254,1
S4038,0
S5534,0
S8761,4
S9146,0
S7774,0
S239,1
S4928,1
S7280,1
S6335,1
S1179,1
S4921,4
S5147,0
S8132,1
S362,1
S8384,1
S2208,4
S6761,1
S1573,0
S5471,0
S5660,1
S7169,0
S5213,1
S5498,1
S3582,1
S1299,3
S3324,4
S4538,1
S2846,0
S946,3
S2641,1
S7098,1
S4585,1
S9318,1
S258,0
S8307,1
S2866,0
S7839,1
S8895,1
S1431,1
